#: table_doi: 10.17182/hepdata.111124.v2/t5
#: name: Table 5
#: description: Corrected $m(HH)$ distribution in the resolved $4b$ signal region (dots), after the fit under the background-only hypothesis. The error bars on the $4b$ points represent the Poisson uncertainties corresponding to their event yields. The background model (teal histogram) is shown with its total post-fit uncertainty (gray band). The final bin includes overflow. Representative spin-2 signal hypotheses (dashed, dotted, and dashed-dotted lines) are overlaid, normalized to the overall expected limits on their cross-sections. The bottom panel shows the difference between the $4b$ distribution and the background model, relative to the background model. No significant excess of data relative to the SM background is observed.
#: data_file: data5_resolved_sr_postfit_corrected_mhh_spin2.yaml
#: keyword reactions: P P --> HIGGS HIGGS --> BQ BQBAR BQ BQBAR
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: Events | Proton-Proton | Events | resonance | BSM | Higgs boson | Higgs boson pair | bbbb | 4b
#: SQRT(S) [GeV],,,13000
#: LUMINOSITY [fb$^{-1}$],,,126
#: Process,,,Resolved Signal Region Data (All years combined)
Corrected $m(HH)$ [GeV],Corrected $m(HH)$ [GeV] LOW,Corrected $m(HH)$ [GeV] HIGH,Data [Events / 14.3 GeV],error +,error -
1214.25,1207.1,1221.4,2.3532,0.58042,-0.58042
1228.5500000000002,1221.4,1235.7,2.2093,0.78294,-0.78294
1242.85,1235.7,1250.0,2.3835,0.73477,-0.73477
1257.15,1250.0,1264.3,2.0207,0.73715,-0.73715
1271.4499999999998,1264.3,1278.6,1.3545,0.42556,-0.42556
1285.75,1278.6,1292.9,1.4323,0.74145,-0.74145
1300.0,1292.9,1307.1,1.9164,0.78167,-0.78167
1314.25,1307.1,1321.4,1.3549,0.74616,-0.74616
1328.5500000000002,1321.4,1335.7,0.93009,0.46808,-0.46808
1342.85,1335.7,1350.0,0.58453,0.265,-0.265
1357.15,1350.0,1364.3,0.46303,0.18981,-0.18981
1371.4499999999998,1364.3,1378.6,0.46998,0.29662,-0.29662
1385.75,1378.6,1392.9,0.43781,0.243,-0.243
1400.0,1392.9,1407.1,0.28525,0.18127,-0.18127
1414.25,1407.1,1421.4,0.32434,0.35708,-0.35708
1428.5500000000002,1421.4,1435.7,0.26469,0.11268,-0.11268
1442.85,1435.7,1450.0,1.1569,0.36334,-0.36334

#: SQRT(S) [GeV],,,13000
#: LUMINOSITY [fb$^{-1}$],,,126
#: Process,,,Graviton (spin-2) signal $m(G^{{*}}_{{KK}})$ = 280 GeV
Corrected $m(HH)$ [GeV],Corrected $m(HH)$ [GeV] LOW,Corrected $m(HH)$ [GeV] HIGH,Graviton (spin-2) signal $m(G^{{*}}_{{KK}})$ = 280 GeV
257.145,250.0,264.29,14.657
271.43,264.29,278.57,49.706
285.71500000000003,278.57,292.86,91.121
300.0,292.86,307.14,42.651
314.28499999999997,307.14,321.43,27.908
328.57,321.43,335.71,26.487
342.855,335.71,350.0,35.615
357.145,350.0,364.29,37.245
371.43,364.29,378.57,41.527
385.71500000000003,378.57,392.86,38.862
400.0,392.86,407.14,33.436
414.28499999999997,407.14,421.43,11.76
428.57,421.43,435.71,2.7754
442.855,435.71,450.0,1.929
457.145,450.0,464.29,0.69606
471.43,464.29,478.57,1.0437
485.71500000000003,478.57,492.86,0.17215
500.0,492.86,507.14,0.28604
514.285,507.14,521.43,0.15084
528.5699999999999,521.43,535.71,0.18476
542.855,535.71,550.0,0.31157
557.145,550.0,564.29,0.26419
571.4300000000001,564.29,578.57,0.3032
585.715,578.57,592.86,-
600.0,592.86,607.14,-
614.285,607.14,621.43,-
628.5699999999999,621.43,635.71,-
642.855,635.71,650.0,-
657.145,650.0,664.29,0.09726
671.4300000000001,664.29,678.57,-
685.715,678.57,692.86,-
700.0,692.86,707.14,-
714.285,707.14,721.43,-
728.5699999999999,721.43,735.71,-
742.855,735.71,750.0,-
757.145,750.0,764.29,-
771.4300000000001,764.29,778.57,-
785.715,778.57,792.86,-
800.0,792.86,807.14,-
814.285,807.14,821.43,-
828.5699999999999,821.43,835.71,-
842.855,835.71,850.0,-
857.145,850.0,864.29,-
871.4300000000001,864.29,878.57,-
885.715,878.57,892.86,-
900.0,892.86,907.14,-
914.285,907.14,921.43,-
928.5699999999999,921.43,935.71,-
942.855,935.71,950.0,-
957.145,950.0,964.29,-
971.4300000000001,964.29,978.57,-
985.715,978.57,992.86,-
999.98,992.86,1007.1,-
1014.25,1007.1,1021.4,-
1028.55,1021.4,1035.7,-
1042.85,1035.7,1050.0,-
1057.15,1050.0,1064.3,-
1071.4499999999998,1064.3,1078.6,-
1085.75,1078.6,1092.9,-
1100.0,1092.9,1107.1,-
1114.25,1107.1,1121.4,-
1128.5500000000002,1121.4,1135.7,-
1142.85,1135.7,1150.0,-
1157.15,1150.0,1164.3,-
1171.4499999999998,1164.3,1178.6,-
1185.75,1178.6,1192.9,-
1200.0,1192.9,1207.1,-
1214.25,1207.1,1221.4,-
1228.5500000000002,1221.4,1235.7,-
1242.85,1235.7,1250.0,-
1257.15,1250.0,1264.3,-
1271.4499999999998,1264.3,1278.6,-
1285.75,1278.6,1292.9,-
1300.0,1292.9,1307.1,-
1314.25,1307.1,1321.4,-
1328.5500000000002,1321.4,1335.7,-
1342.85,1335.7,1350.0,-
1357.15,1350.0,1364.3,-
1371.4499999999998,1364.3,1378.6,-
1385.75,1378.6,1392.9,-
1400.0,1392.9,1407.1,-
1414.25,1407.1,1421.4,-
1428.5500000000002,1421.4,1435.7,-
1442.85,1435.7,1450.0,-

#: SQRT(S) [GeV],,,13000
#: LUMINOSITY [fb$^{-1}$],,,126
#: Process,,,Graviton (spin-2) signal $m(G^{{*}}_{{KK}})$ = 400 GeV
Corrected $m(HH)$ [GeV],Corrected $m(HH)$ [GeV] LOW,Corrected $m(HH)$ [GeV] HIGH,Graviton (spin-2) signal $m(G^{{*}}_{{KK}})$ = 400 GeV
257.145,250.0,264.29,0.01582
271.43,264.29,278.57,0.18812
285.71500000000003,278.57,292.86,0.16566
300.0,292.86,307.14,0.38492
314.28499999999997,307.14,321.43,0.96068
328.57,321.43,335.71,0.82004
342.855,335.71,350.0,0.77752
357.145,350.0,364.29,2.2216
371.43,364.29,378.57,7.2678
385.71500000000003,378.57,392.86,30.108
400.0,392.86,407.14,64.929
414.28499999999997,407.14,421.43,41.018
428.57,421.43,435.71,17.887
442.855,435.71,450.0,8.0264
457.145,450.0,464.29,4.7761
471.43,464.29,478.57,4.2657
485.71500000000003,478.57,492.86,3.4961
500.0,492.86,507.14,2.1523
514.285,507.14,521.43,2.679
528.5699999999999,521.43,535.71,2.0575
542.855,535.71,550.0,2.3116
557.145,550.0,564.29,1.1299
571.4300000000001,564.29,578.57,0.60494
585.715,578.57,592.86,0.40732
600.0,592.86,607.14,0.09721
614.285,607.14,621.43,0.02632
628.5699999999999,621.43,635.71,0.081854
642.855,635.71,650.0,0.03995
657.145,650.0,664.29,0.017931
671.4300000000001,664.29,678.57,0.040539
685.715,678.57,692.86,-
700.0,692.86,707.14,-
714.285,707.14,721.43,0.010383
728.5699999999999,721.43,735.71,0.046087
742.855,735.71,750.0,-
757.145,750.0,764.29,-
771.4300000000001,764.29,778.57,-
785.715,778.57,792.86,-
800.0,792.86,807.14,0.01478
814.285,807.14,821.43,0.010932
828.5699999999999,821.43,835.71,-
842.855,835.71,850.0,-
857.145,850.0,864.29,-
871.4300000000001,864.29,878.57,-
885.715,878.57,892.86,-
900.0,892.86,907.14,-
914.285,907.14,921.43,-
928.5699999999999,921.43,935.71,0.036505
942.855,935.71,950.0,0.0035793
957.145,950.0,964.29,-
971.4300000000001,964.29,978.57,-
985.715,978.57,992.86,-
999.98,992.86,1007.1,-
1014.25,1007.1,1021.4,-
1028.55,1021.4,1035.7,-
1042.85,1035.7,1050.0,-
1057.15,1050.0,1064.3,-
1071.4499999999998,1064.3,1078.6,-
1085.75,1078.6,1092.9,-
1100.0,1092.9,1107.1,-
1114.25,1107.1,1121.4,-
1128.5500000000002,1121.4,1135.7,-
1142.85,1135.7,1150.0,-
1157.15,1150.0,1164.3,-
1171.4499999999998,1164.3,1178.6,-
1185.75,1178.6,1192.9,-
1200.0,1192.9,1207.1,-
1214.25,1207.1,1221.4,-
1228.5500000000002,1221.4,1235.7,-
1242.85,1235.7,1250.0,-
1257.15,1250.0,1264.3,-
1271.4499999999998,1264.3,1278.6,-
1285.75,1278.6,1292.9,-
1300.0,1292.9,1307.1,-
1314.25,1307.1,1321.4,-
1328.5500000000002,1321.4,1335.7,-
1342.85,1335.7,1350.0,-
1357.15,1350.0,1364.3,-
1371.4499999999998,1364.3,1378.6,-
1385.75,1378.6,1392.9,-
1400.0,1392.9,1407.1,-
1414.25,1407.1,1421.4,-
1428.5500000000002,1421.4,1435.7,-
1442.85,1435.7,1450.0,-

#: SQRT(S) [GeV],,,13000
#: LUMINOSITY [fb$^{-1}$],,,126
#: Process,,,Graviton (spin-2) signal $m(G^{{*}}_{{KK}})$ = 600 GeV
Corrected $m(HH)$ [GeV],Corrected $m(HH)$ [GeV] LOW,Corrected $m(HH)$ [GeV] HIGH,Graviton (spin-2) signal $m(G^{{*}}_{{KK}})$ = 600 GeV
257.145,250.0,264.29,-
271.43,264.29,278.57,-
285.71500000000003,278.57,292.86,0.007005
300.0,292.86,307.14,-
314.28499999999997,307.14,321.43,0.005182
328.57,321.43,335.71,0.011761
342.855,335.71,350.0,0.0076987
357.145,350.0,364.29,0.017017
371.43,364.29,378.57,-
385.71500000000003,378.57,392.86,0.0233
400.0,392.86,407.14,0.025803
414.28499999999997,407.14,421.43,0.0034219
428.57,421.43,435.71,0.041838
442.855,435.71,450.0,0.078742
457.145,450.0,464.29,0.096696
471.43,464.29,478.57,0.098661
485.71500000000003,478.57,492.86,0.24005
500.0,492.86,507.14,0.46049
514.285,507.14,521.43,0.62858
528.5699999999999,521.43,535.71,1.3059
542.855,535.71,550.0,2.6921
557.145,550.0,564.29,4.6443
571.4300000000001,564.29,578.57,9.4535
585.715,578.57,592.86,17.328
600.0,592.86,607.14,21.31
614.285,607.14,621.43,17.684
628.5699999999999,621.43,635.71,11.11
642.855,635.71,650.0,6.7017
657.145,650.0,664.29,4.0286
671.4300000000001,664.29,678.57,2.7512
685.715,678.57,692.86,1.834
700.0,692.86,707.14,1.2989
714.285,707.14,721.43,1.0047
728.5699999999999,721.43,735.71,0.74347
742.855,735.71,750.0,0.54924
757.145,750.0,764.29,0.54033
771.4300000000001,764.29,778.57,0.56858
785.715,778.57,792.86,0.40826
800.0,792.86,807.14,0.29337
814.285,807.14,821.43,0.46431
828.5699999999999,821.43,835.71,0.46012
842.855,835.71,850.0,0.34468
857.145,850.0,864.29,0.23738
871.4300000000001,864.29,878.57,0.37725
885.715,878.57,892.86,0.31306
900.0,892.86,907.14,0.18433
914.285,907.14,921.43,0.15792
928.5699999999999,921.43,935.71,0.20732
942.855,935.71,950.0,0.17896
957.145,950.0,964.29,0.16571
971.4300000000001,964.29,978.57,0.087741
985.715,978.57,992.86,0.11845
999.98,992.86,1007.1,0.044419
1014.25,1007.1,1021.4,0.0041966
1028.55,1021.4,1035.7,-
1042.85,1035.7,1050.0,0.0032287
1057.15,1050.0,1064.3,0.002322
1071.4499999999998,1064.3,1078.6,-
1085.75,1078.6,1092.9,-
1100.0,1092.9,1107.1,-
1114.25,1107.1,1121.4,0.0043483
1128.5500000000002,1121.4,1135.7,-
1142.85,1135.7,1150.0,-
1157.15,1150.0,1164.3,0.011202
1171.4499999999998,1164.3,1178.6,0.0053469
1185.75,1178.6,1192.9,-
1200.0,1192.9,1207.1,-
1214.25,1207.1,1221.4,-
1228.5500000000002,1221.4,1235.7,-
1242.85,1235.7,1250.0,-
1257.15,1250.0,1264.3,-
1271.4499999999998,1264.3,1278.6,-
1285.75,1278.6,1292.9,-
1300.0,1292.9,1307.1,-
1314.25,1307.1,1321.4,-
1328.5500000000002,1321.4,1335.7,-
1342.85,1335.7,1350.0,-
1357.15,1350.0,1364.3,-
1371.4499999999998,1364.3,1378.6,-
1385.75,1378.6,1392.9,-
1400.0,1392.9,1407.1,-
1414.25,1407.1,1421.4,-
1428.5500000000002,1421.4,1435.7,-
1442.85,1435.7,1450.0,-

#: SQRT(S) [GeV],,,13000
#: LUMINOSITY [fb$^{-1}$],,,126
#: Process,,,Graviton (spin-2) signal $m(G^{{*}}_{{KK}})$ = 1000 GeV
Corrected $m(HH)$ [GeV],Corrected $m(HH)$ [GeV] LOW,Corrected $m(HH)$ [GeV] HIGH,Graviton (spin-2) signal $m(G^{{*}}_{{KK}})$ = 1000 GeV
257.145,250.0,264.29,-
271.43,264.29,278.57,-
285.71500000000003,278.57,292.86,-
300.0,292.86,307.14,-
314.28499999999997,307.14,321.43,-
328.57,321.43,335.71,-
342.855,335.71,350.0,-
357.145,350.0,364.29,-
371.43,364.29,378.57,0.00056645
385.71500000000003,378.57,392.86,-
400.0,392.86,407.14,0.0011872
414.28499999999997,407.14,421.43,-
428.57,421.43,435.71,0.00088757
442.855,435.71,450.0,-
457.145,450.0,464.29,0.002127
471.43,464.29,478.57,0.0019432
485.71500000000003,478.57,492.86,0.0097719
500.0,492.86,507.14,0.0014868
514.285,507.14,521.43,0.0057675
528.5699999999999,521.43,535.71,0.0026896
542.855,535.71,550.0,0.0008089
557.145,550.0,564.29,0.0073214
571.4300000000001,564.29,578.57,0.010155
585.715,578.57,592.86,0.004056
600.0,592.86,607.14,0.0057102
614.285,607.14,621.43,0.011108
628.5699999999999,621.43,635.71,0.010138
642.855,635.71,650.0,0.0050589
657.145,650.0,664.29,0.014455
671.4300000000001,664.29,678.57,0.024413
685.715,678.57,692.86,0.02783
700.0,692.86,707.14,0.020316
714.285,707.14,721.43,0.02862
728.5699999999999,721.43,735.71,0.036026
742.855,735.71,750.0,0.024018
757.145,750.0,764.29,0.03738
771.4300000000001,764.29,778.57,0.080349
785.715,778.57,792.86,0.10664
800.0,792.86,807.14,0.098844
814.285,807.14,821.43,0.16445
828.5699999999999,821.43,835.71,0.18765
842.855,835.71,850.0,0.18497
857.145,850.0,864.29,0.24836
871.4300000000001,864.29,878.57,0.36108
885.715,878.57,892.86,0.46269
900.0,892.86,907.14,0.74362
914.285,907.14,921.43,1.0692
928.5699999999999,921.43,935.71,1.4878
942.855,935.71,950.0,2.1106
957.145,950.0,964.29,3.0337
971.4300000000001,964.29,978.57,3.1819
985.715,978.57,992.86,3.3783
999.98,992.86,1007.1,3.2844
1014.25,1007.1,1021.4,2.9428
1028.55,1021.4,1035.7,2.1204
1042.85,1035.7,1050.0,1.577
1057.15,1050.0,1064.3,1.0275
1071.4499999999998,1064.3,1078.6,0.83707
1085.75,1078.6,1092.9,0.6118
1100.0,1092.9,1107.1,0.43156
1114.25,1107.1,1121.4,0.30494
1128.5500000000002,1121.4,1135.7,0.27586
1142.85,1135.7,1150.0,0.1883
1157.15,1150.0,1164.3,0.16126
1171.4499999999998,1164.3,1178.6,0.13133
1185.75,1178.6,1192.9,0.09048
1200.0,1192.9,1207.1,0.065249
1214.25,1207.1,1221.4,0.04971
1228.5500000000002,1221.4,1235.7,0.078736
1242.85,1235.7,1250.0,0.031647
1257.15,1250.0,1264.3,0.01963
1271.4499999999998,1264.3,1278.6,0.036235
1285.75,1278.6,1292.9,0.029682
1300.0,1292.9,1307.1,0.016492
1314.25,1307.1,1321.4,0.0070593
1328.5500000000002,1321.4,1335.7,0.019444
1342.85,1335.7,1350.0,0.0056874
1357.15,1350.0,1364.3,0.014983
1371.4499999999998,1364.3,1378.6,0.0060349
1385.75,1378.6,1392.9,0.0063702
1400.0,1392.9,1407.1,0.001845
1414.25,1407.1,1421.4,0.0010672
1428.5500000000002,1421.4,1435.7,0.0038636
1442.85,1435.7,1450.0,0.0089426

